en,fa
incrementation,نمو دهی
increscent,زیاد شونده
incriminate,جانی قلمداد کردن
incriminatory,محکوم کننده
incrust,قشر تشکیل دادن
incrustation,نمای مرمر
incrustment,نمای مرمر
incubate,جوجه کشی کردن
incubation,بر خوابش
incubator,ماشین جوجه کشی
inculcate,تلقین کردن
inculcation,تلقین
incult,کشت نشده
incumbency,عهده داری
incumbent,مصدر کار
incunabulum,کتب قدیمی
incur loss,متضرر شدن
incurability,لاعلاجی
incurable,بهبودی ناپذیر
incuriosity,عدمکنجکاوی
incurring loss,اضرار
incursion,ترکتازی
incus,استخوان سندانی
incuse,نقش چکشی
indebted,مشغول ذمه
indecency,نا زیبندگی
indecent,خارج از نزاکت
indecently,بی شرمانه
indecipherable,غیرقابل استخراج
indecision,بی تکلیفی
indecisive,غیر قطعی
indecisiveness,بی تصیمی
indeclinable,پرهیز نکردنی
indecomposable,فساد ناپذیر
indecorous,نا صحیح
indeed,آره راستی
indefeasibility,الغاء نشدنی
indefeasible,لغو نکردنی
indefectible,عیب نکردنی
indefensible,غیرقابل اعتذار
indefinable,توصیف نشدنی
indefinite,بطور صفت
indefinite adjective,صفت مبهمه
indefinite pronoun,ضمیر مبهمه
indehiscent,نا شکوفا
indelible,محو نشدنی
indelicacy,بی لطافتی
indelicate,بی لطافت
indemnification,پرداخت غرامت
indemnify,غرامت دادن
indemnity,جبران زیان
indent,بر جسته کردن
indentation,دندانهگذاری
indented,تورفته
indentification card,تعرفه
indention,عقب بردگی
indenture,دوبل کردن
independence,عدموابستگی
independence movement,جنبش استقلال طلب
independence seeker,استقلال طلب
independent,قطع نظر کردن
independently,بالاستقلال
indepted,مقروض
indescribable,توصیف ناپذیر
indestructible,نابود نشدنی
indeterminable,نا محدود
indeterminacy,نا معلومی
indeterminate,پادر هوا
indevout,نا پارسا
index,فهرست ساختن
index finger,انگشت نشان
index number,عدد شاخص
indexing,فهرست سازی
indfferent,بی تفاوت
India,هندوستان
india ink,مرکب چین
Indian,هندوستانی
Indian berry,ماهی زهره
indian club,میل زورخانه
indian giver,بخشنده دون
Indian Ocean,اقیانوس هند
indican,ماده سازنده نیل
indicant,نشان دهنده
indicate,حکایت داشتن
indicated,مشار
indicating,مشعر
indication,اشارت
indicative,اشارهکننده
indicator,دفتر نماینده
indictable,قابل تعقیب
indicte,تحت تعقیب قرار دادن
indicter,اعلام جرمکننده
indictment,ادعانامه
indifference,بی اشتیاقی
indifferent,بی اشتیاق
indigence,تنگ دستی
indigent,احتیاج مند
indigested,نا گواریده
indigestibility,ناگواری
indigestible,دیر هضم
indigestion,سوء هاضمه
indign,فاقد شایستگی
indignant,خشمگینانه
indignation,رنجش
indignity,هتک آبرو
indigo,برنگ نیلی
indirect,به طور غیر مستقیم
indirect object,مفعول باواسطه
indirection,غیر مستقیمی
indirectly,به طور غیر مستقیم
indiscernible able,نا پیدا
indiscreet,بی بصیرت
indiscreetness,بی بصیرتی
indiscrete,بهم پیوسته
indiscretion,بی خردی
indiscrimination,عدم تشخیص
indispensable,صرفنظر نکردنی
indisposition,نقاهت
indisputability,بی چون و چرایی
indisputable,بی چون و چرا
indissoluble,بهم نخوردنی
indistinct,نا معلوم
indite,نگارش کردن
individual,متعلق بفرد
individual rights,آزادی فردی
individualism,تکروی
individualist,فرد گرای
individuality,وجود فردی
individualization,منفرد سازی
individualize,منفرد ذکر کردن
individually,بطور انفرادی
individuals,افراد
individuate,انفرادی کردن
individuation,فرد پرستی
indivisible,لایتجزا
indo chinese,ملت هندوچین
Indochina,هندوچین
Indochinese,هندوچینی
indolence,فرویش
indolent,کاهل
Indonesia,اندونزی
indonesian,وابسته به اندونزی
indoor,زیر سقف
indoors,در منزل
indrawn,بداخل کشیده
in-drawn,تو کشیده
induce,استقراء کردن
induct,گماشتن بر
inductile,دراز نشو
induction,استقراء
induction coil,بوبین رمکورف
inductive,استنتاجی
inductive reasoning,قیاس استقرائی
indulge,زیاده ستانی کردن
indulgence,زیاده روی
indulgent,زیاده رو
indurate,پینه کردن
Indus River,سند
indusium,غلاف میوه
industerial skill,صنعت گری
industrial,اهل صنعت
industrial management,مدیریت صنعتی
industrial school,مدرسهصنعتی
industrial worker,صنعتکار
industrialize,صنعتی کردن
industries,صنایع
industrious,زبر دست
industry,صناعت
indwell,مسکن گزیدن
inebriant,مست کننده
inebriate,سرخوش کردن
inebriety,نشئه
inedible,غیر ماکول
ineffaceable,محو نشدنی
ineffective,بی خاصیت
ineffectiveness,بیاثر بودن
ineffectual,بیاثربودن
inefficacious,نا سودمند
inefficiency,عدم کاردانی
inefficient,بی دست و پا
inelastic,بدون کشش
inelegance,بی ظرافتی
inelegant,بی لطافت
ineligible,شامل نشدنی
ineloquent,بی فصاحت
ineluctability,نا گزیری
ineluctable,چاره ناپذیر
ineludible,گریز ناپذیر
inept,نا شایسته
ineptitude,بی کفایتی
inequality,عدم تساوی
inequitable,غیر منصفانه
inequity,نا درستی
inequivalence,ناهمارزی
ineradicable,قلع نشدنی
inerrancy,بی لغزشی
inerrant,بی لغزش
inert,نا کار
inescapable,چارهنا پذیر
inessential,غیراثاثی
inevitable,اجتناب ناپذیر
inevitably,ناگزیر
inexact,درست نشده
inexcusable,بدون بهانه
inexhaustible,تهی نشدنی
inexistence,نیستی
inexistency,نا بودی
inexistent,غیر موجود
inexpensive,ارزان قیمت
inexperience,بی تجربگی
inexperienced,ندانم کار
inexperienced person,آدم خام
inexperiencedness,بی تجربگی
inexperient,بی تجربه
inexpert,فاقد خبرگی
inexpertise,بی مهارتی
inexpiable,جبران نکردنی
inexplicit,بطور ضمنی
inexpressible,غیرقابل بیان
inexpressive,نرساننده مقصود
inexpressiveness,نارسائی
inexpugnable,منقرض نکردنی
inextensible,منقرض نکردنی
inextenso,بطول کافی
inextinguishable,مستهلک نکردنی
inextremis,نزدیک بمرگ
inextricable,نگشودنی
infact,کما این که
infamous,ننگآور
infamy,سابقهبد
infancy,طفولیت
infant,خرد سال
infanticide,بچه کشی
infantile,کودکانه
infantry,پیاده نظام
infarction,انفارکتوس
infatuate,شیفته و شیدا شدن
infatuated,دلفریفته
infatuation,شیفتگی
infect,گند زده کردن
infected,عفونی
infection,سرایت مرض
infectious,فاسد کننده
infectious disease,بیماری عفونی
infective,عفونت زا
infelicitous,غیر مقتضی
infer,استنباط کردن
inferable,استنتاج پذیر
inference,استنباط
inferential,تحلیل استنباطی
inferior,درجه دوم
inferiority,پست بودن
infernal,دوزخی
inferred,استنباط شده
infertile,غیر حاصلخیز
infertility,بی حاصلی
infest,ول نکردن
infestant,هجوم کننده
infidel,بی ایمان
infield,زمین زیر کشت
infinite,بی نهایت
infinitesimal,بینهایت کوچک
infinitival,مصدری
infinitive,مصدر
infinitive mood,وجه مصدر
infinitives,مصادر
infinity,نامحدودی
infirm,علیل
infirmity,نا توانی
infix,فرو نشاندن
inflamable,محترقه
inflamation,بادکردگی
inflame,ملتهب کردن
inflamed,ورمکرده
inflammability,قابلیت اشتعال
inflammable,التهاب پذیر
inflammation,بادکردگی
inflammatory,فتنه انگیز
inflate,متورم شدن
inflated,بادآورده
inflation,تورم
inflection,انعطاف
inflexed,منحرف شده
inflexible,قیر قابل انحناء
inflict a blow,ضربت زدن
inflictor,ضربت زن
inflow,جریان بداخل
influence,تحت تاثیر قراردادن
influent,درون ریز
influential,سرجنبان
Influenza,آنفلوآنزا
inform,در جریان قرار دادن
informal,بی تشرفات
informally,بطور غیر رسمی
informant,شکل دهنده
informatics,خودکاری آگاهانه
information,اطلاعاتی
information desk,پرسشگاه
informative,آموزنده
informed,مستحذر
informer,آگاهی دهنده
infra red,مادون قرمز
infrared,زیرقرمز
infrared light,اشعه فروسرخ
infrared ray,اشعه مادون قرمز
infrastructure,زیربنایی
infrequency,ندرت وقوع
infrequent things,نوادر
infuriate,بسیار خشمگین کردن
infuriating,بخشم آورنده
infusible,گداخته نشدنی
ingenious,نکته پرداز
ingeniousness,نکته سنجی
ingenuity,دهاء
ingenuous,پیشانی گشاده
ingest,داخل معده کردن
ingestion,فرو بری
inglorious,شرم آور
ingrain,نخ رنگی
ingrate,نمک ناشناس
ingratiate,خود شیرینی کردن
ingratiation,خود شیرینی
ingratitude,نمک ناشناسی
ingredient,جزء ترکیبی
ingredients,اجزا
ingression,درون روی
ingrowing,درون رویان
ingrowth,رویش درونی
inhabit,مسکون کردن
inhabitant,اهل
inhabitants,سکنه
inhabited,معموره
inhalant,استنشاق کننده
inhalation,استنشاق
inhale,استنشاق کردن
inhere,ماندگار بودن
inherence,لزوم ذاتی
inherency,لزوم ذاتی
inherent,ذاتی
inherently,بالذت
inherit,از دیگری گرفتن
inheritable,قابل انتقال
inheritance,میراث بری
inheritance tax,مالیات بر ارث
inherited,موروثی
inherited immunity,ایمنی ارثی
inheritor,ارث بر
inhibit,ممانعت کردن
inhibit condition,وضعیت منع
inhibiter,جلوگیری کننده
inhibitor,جلوگیری کننده
inhospitable,غریب ننواز
inhuman,غیر انسانی
inhumane,غیر انسانی
inhumanity,غیرانسانی بودن
inimical,دشمنانه
iniquitous,غیر عادلانه
initation,ورود بعضویت
initial,پاراف کردن
initial condition,وضعیت آغازی
Initially,ابتدا
initials,پاراف
initiate,ابتکار داشتن
initiation,راهاندازی
initiative,قوه ابتکار
initiatory,دخولی
inject,اماله کردن
injectable,زدنی
injection,یک بیک
injector,انژکتور
injunctive,تاکیدی
injure,ایراد جرح کردن
injured,گزند یافتن
injuried,مظلوم
injurious,مضر
injury,آسیب دیدگی
injustice,بی عدالتی
injustices,مظالم
ink,مرکب زدن
ink eraser,مرکب پاک کن
ink erasing,مرکب پاک کن
ink pad,مرکب زن
inkle,قیطان کتانی
inkling,کورهخبر
inkstand,دوات
inkwell,جوهر دان
inky,جوهری
inlaid work,خاتم کاری
inland,درون مرزی
inlarge,درشت کردن
inlay,گوهر نشان کردن
inlayer,خاتم کار
inlayings with gems,ترصیع
inlet,شاخابه
inlination,میل
inmate,اهل بیت
inn,مسافر خانه
inn keeper,مهمانخانهدار
innards,قسمتهای داخلی
innate,درون زاد
inner,داخله
inner directed,درون گرای
inner folds,لابلا
inner parts,اندرونه
innermost,داخلی ترین
innholder,مهمانخانه دار
innkeeper,صاحب مسافرخانه
innocence,بی تقصیری
innocent,بی تقصیر
innovate,چیزتازه آوردن
innovated,نوآیین
innovation,بدعتکاری
innovative,با ابتکار
innovatively,مبتکراً
innovator,بدعت گذار
innuendo,تلویحا اشاره
innumberable,مانند مور و ملخ
innumerable,غیرقابل شمارش
innutrition,عدم تغذیه
innutritious,غیر مغذی
inobservance,عدم رعایت
inoculant,ماده تلقیحی
inoculate,مایه کوبی کردن
inoculation,مایه کوبی
inoffensive,بدون زنندگی
inoperable,بکار نیداختنی
inoperative,غیرقابل استفاده
inopportune,نابهنگام
inopportuneness,بی موردی
inordinate,غیر معتدل
inorganic,غیر آلی
inosculate,درهم باز شدن
inpatient,بیمار بستری
input,درون گذاشت
inquire,استمزاج کردن
inquirer,مستفسر
inquiring,استخبار
inquiry,استعلامیه
inquisitive,کنجکاو
inrush,هجوم بداخل
insalivate,درون یورش
insane,دیوانه
insanity,بی مغزی
insatiability,اقناع نشدنی
insatiable,اقناع ناپذیر
insatiate,سیر نشدنی
inscribe,حکاکی کردن
inscribed,محاط
inscription,نوشته خطی
inscrutable,نفوذ ناپذیر
insculp,گراور کردن
inseam,درز شلوار
insect,کرم ریز
insecticid,امشی
insecticide,حشره کش
insectivore,جمنده خوار
insectivorous,حشرهخوار
insecure,بی اعتبار
insecurity,تزلزل
inseminate,تلقیح کردن
inseminator,تلقیح کننده
insensibility,غیر محسوسی
insensible,غیرمحسوس
insensitive,غیر حساس
inseparable,لاینفک
insert,بمیان آوردن
inserted,مندرج
inserted between,معترضه
insertion,جوف گذاری
inshore,نزدیک کرانه
inshort,اجمالاً
inside,نزدیک بمرکز
inside out,پشت ورو
insider,محرم راز
insight,درون بینی
insightful,روشن بین
insightfulness,روشن بینی
insigne,نشان افتخار
insignia,نشان افتخار
insignificance,بی اهمیتی
insignificant,چندرقاز
insincere,بدونصمیمیت
insinuating,ریشخند کننده
insinuation,دخول تدریجی
insipid,لوس
insist,پافشاری کردن
insistence,پافشاری
insistent,پافشار
insisting,پاپی
insociability,بی معاشرتی
insociable,غیرقابل معاشرت
insolate,خورتاب گرفتن
insolation,خورتابگیری
insole,کفی کفش
insolence,ادعای بیخود
insoluable,نامحلول
insolubility,ناگدازی
insoluble,غیر محلول
insolvency,اعسار
insolvent,معسر
insomnia,مرض بیخوابی
insomniac,بی خواب
insomuch,ازبسکه
insouciance,لاابالی گری
insoul,دارای روح کردن
inspect,تحت بررسی قرار دادن
inspection,بازرسی
inspector,بازبینی کننده
insphere,دور گرفتن
inspiration,الهام
inspirational,الهاما
inspirator,الهام دهنده
inspire,الهام بخشیدن
inspired,الهامی
instability,نااستواری
instable,متلونالمزاج
install,کار گذاشتن
installation,نصب
installation time,مدت نصب
installer,سوار کننده
installment,علیالحساب
installment plan,پرداخت اقساطی
installment purchase,خرید به اقساط
instalments,اقساط
instance,وهله
instant,ماه کنونی
instantantly,آنی
instantly,در دم
instead,بجای
instead of,به جای اینکه
instigation,تحریک
instil doubts,شبهه دار کردن
instinct,شعور حیوانی
instinctive,غریزی
instincts,مشاعر
institute,بنیاد گذاشتن
institution,بنگاه
institutionalize,نهادینه کردن
institutionalized,نهادین
instruct,تعلیم دادن
instruction,دستورالعمل
instructional,آموزگاری
instructive,یاد دهنده
instructor,یاد دهنده
instrument,ابزار
instrumental,قابل استفاده
instrumentalist,ساز زن
instrumentation,استعمال آلت
instruments,ادوات
insubordinate,گردن کش
insubordination,نافرمانی
insubstantial,غیر واقعی
insufficience,عدم کفایت
insufficiency,بی کفایتی
insufficient,غیر کافی
insufflate,سوفله کردن
insular,غیر آزاد
insulate,روپوش دار کردن
insulating,عایق
insulation,عایق گذاری
insulator,عایق کننده
insulin,انسولین
insult,بی احترامی کردن
insulting,موهن
insuperable,شکست ناپذیر
insuppressible,غیرقابل کنترل
insurable,بیمه کردنی
insurance,بیمه
insurance policy,بیمه نامه
insure,بیمه بدست آوردن
insured,بیمه شونده
insurer,بیمه گر
insurgance,تجاسر
insurgence,یاغی گری
insurgency,یاغی گری
insusceptible,غیر آماده
intact,صدمه ندیده
intake,فرا گرفتگی
intangible,درک نکردنی
integer,عدد صحیح
integral,انتگرال
integral calculus,حساب جامعه
integral part,جزء لاینفک
integrand,انتگرالده
integrate,اختلاط
integrated,یکپارچه
integration,مجتمع سازی
integrity,تمامیت
inteligent,تیز هوش
intellect,قوه درک
intellects,الباب
intellectual,آدم باذوق
intellectualize,عقلانی کردن
intellectuals,روشن فکران
intelligence,اطلاعاتی
intelligence bureau,اداره اطلاعاتی
intelligence test,آزمایش هوش
intelligent,تیز هوش
intelligentsia,طبقه روشنفکر
intelligibility,قابلیت فهم
intelligible,قابل فهم
intend,خیال داشتن
intend to go,آهنگ رفتن کردن
intended,مورد نظر
intenerate,حساس کردن
intense,شدید
intense cold,زمهریر
intensification,افزون شدگی
intensify,تشدید یافتن
intensifying,مشدد
intensity,سختی
intent,مرام
intention,منظور
intentional,تعمدی
intentional doer,متعمد
intentionally,تعمدا
intentions,اغراض
inter,مدفون ساختن
interact,متقابلا اثر کردن
interaction,عمل متقابل
interbreed,اصلاح نژاد کردن
intercalate,جا دادن
intercede,پادر میانی کردن
intercellular,بین یاخته ای
intercession,پادرمیانی
intercessor,پادرمیان
interchange,متناوب ساختن
interchangeable,قابل معاوضه
intercoastal,بین دنده ای
intercommunicate,مراوده داخلی داشتن
intercommunion,ارتباط مشترک
interconnect,بهم وصل کردن
intercontinental,درون بری
intercourse,مقاربت
intercultural,بین فرهنگی
intercurrent,مداخله کننده
intercycle,بین چرخهای
interdental,بین دندانی
interdepartmental,بین ادارهای
interdict,محجور کردن
interdicted,محجور
interdiction,محجوریت
interest,علاقه
interest of the country,مصاح عالیه مملکت
interest rate,نرخ بهره
interested,علاقه مند
interesting,جالب نظر
interests,آلائق
interface,فضال
interfere,مداخله و فضولی کردن
interfere with,معارظ شدن
interference,دخل و تصرف
interfering,تداخلی
interfuse,بهم آمیختن
intergalactic,بین کهکشانی
intergeneric,بین طبقهای
intergrowth,رویش توام
Interim Government,دولت انتقالی
interior,اندرون
Interior Minister,وزیر کشور
Interior Ministry,وزارت کشور
interlace,بهم پیچیدن
interline,آستر گذاشتن
interlink,مسلسل کردن
interlock,بهم قفل کردن
interlocutor,طرف صحبت
interlunar,بین دوماه
intermediacy,میانجی گری
intermediary,مداخله کننده
intermediate,مداخله کننده
intermediator,واسطه
interminable,پایان ناپذیر
intermit,نوبت داشتن
intermittent,نوبت دار
intermitter,متناوب کننده
intermix,بهم مخلوط کردن
intermixable,اقابل اختلات
intermolecular,بین مولکولی
intern,کار ورز
internal,اندرونی
internal affairs,مسائل داخلی
internal combustion,احتراق داخلی
internal medicine,طب داخلی
internal organs,احشاء
internal use,استعمال داخلی
international,بین المللی
International Alliance,ائتلاف نین المللی
International Fair,نمایشگاه بین المللی
international law,حقوق بینالملا
International Red Cross,صلیب سرخ بین المللی
internecine,کشتار متقابل
internet,شبکه اینترنت
internode,میان گره
interplanetary,بین الکواکب
interposition,میانه گیری
interprative,تاویلی
interpret,ترجمه شفاهی کردن
interpretation,تفسیر
interpreter,مترجم شفاهی
interpreting,تلقی
interpretive,تفسیری
interpretor of dreams,معبر
interracial,بین نژادی
interrelate,مناسبات مشترک داشتن
interrogate,تحت بازجویی قرار دادن
interrogation,باز خواست
interrogative,ادوات استفهام
interrogator,پرسش کننده
interrupt,ایجاد وقفه
interrupt condition,وضعیت وقفه
interrupted,مقطوع
interruption,ایجاد وقفه
intersect,از هم گذشتن
intersecting,متلاقی
intersection,چارسوق
intersex,نر و ماده
interspace,فاصله دار کردن
interstate,بین ایالتی
interstellar,بین ستارهای
interstice,سوراخ ریز
intertweave,درهم بافته شدن
intertwine,بهم تابیدن
intertwist,درهم مشبک کردن
interupter,معارض
interurban,داخل شهری
interval,اثناء
intervene,مداخله کردن
intervener,مداخله جو
intervening,حایل
interventionism,مداخله جوئی
interview,مصاحبه کردن
intestate,بی وصیت
intestinal,رودهای
intestinal cut,روده بر
intestine,معاء
intimacy,محرمیت
intimate,محرم ساختن
intimately,صمیمانه
intimidate,ارعابگری کردن
intimidation,ترهیب
intinction,صباغی
intitule,مستحق دانستن
into,در میان
intolerable,تحمل ناپذیر
intolerance,نابردباری
intolerancy,عدم قبول
intonation,تکیه صدا
intoxicant,مستی آور
intoxicate,کیف دادن
intoxicated,بدمست
intoxicating,سکرآور
intoxication,بدمستی
intracellular,درون یاختهای
intractable,ستیزه جو
intradermal,درون پوستی
intradermic,درون پوستی
intramolecular,درون ذرهای
intransigence,عدم تراضی
intransigency,عدم تراضی
intransigent,سر سخت
intransitive,فعل لازم
intrant,مقامی میشود
intrastate,درون کشوری
intrauterine,درون زهدانی
intravascular,درون رگی
intrepid,صارم
intricacy,ریزه کاری
intricate,تو در تو
intricate questions,معضلات
intrigant,انتریک چی
intriguant,انتریک چی
intrigue,دوز و کلک چیدن
intrigues,دسائس
intrinsic,فطری
intrnal,خانگی
introduce,مرسوم کردن
introduction,معرفی رسمی
introductory,معارفهای
introit,سرود افتتاحیه
intromission,مواد الحاقی
intromit,جا دادن
introspect,درخود فرورفتن
introspection,تعمق
introversion,بدرون کشیدگی
introvert,بخود متوجه کردن
intrude,بزور داخل شدن
intruder,مزاحم
intrusion,پادرازی
intrusive,فرو رونده
intuition,دریافت ناگهانی
intuitive,بصیری
inunction,مرهم گذاری
inundate,سیل زده کردن
inure,مانوس کردن
inutilty,بیاستفادگی
invade,تاخت وتاز کردن
invader,حملهکننده
invading,تازنده
invaginate,درخود گرفتن
invagination,غلاف شدگی
invalid,بی اعتبار
invalidate,بی اعتبارکردن
invalidating,مبطل
invalidism,زمین گیری
invalidity,بی اعتباری
invaluable,غیرقابل تخمین
invariability,تغییرناپذیری
invariable,نامتغیر
invariant,تغییرناپذیر
invasion,تاخت و تاز
invasive operation,عملیات گسترده
inveiglement,فریفتگی
invent,اختراع کردن
invent lies,دروغ ساختن
invented,من درآوردی
inventing,ابداع کننده
invention,نوآورده
inventor,اختراع کننده
inventorial,سیاههای
inventory,فهرست موجودی
inverse,معکوس
inversely,معکوسا
inversion,وارونهسازی
invert,وارونه کردن
invertebrata,بی مهرگان
invertebrate,غیر ذیفقار
inverted,نگونسار
inverter,بر گرداننده
invest,سرمایه گذاری کردن
investigate,تحقیقات بعمل آوردن
investigating,متجسس
investigation,بازخوانی
investigator,بازجو
investing,سرمایه گذار
investiture,اعطای نشان
investment,سرمایه گذاری
investor,سرمایه گذار
inveterate,ریشه کرده
invidious,منزجر کننده
invigorate,نیرو بخشیدن
invincibility,شکست ناپذیری
invincible,مغلوب نشدنی
inviolability,حرمت
inviolable,غصب نکردنی
inviolate,غصب نشدنی
invisibility,ناپدیدی
invisible,غیرقابل مشاهده
invitation,وعده خواهی
invitation letter,دعوت نامه
invite,دعوت به عمل آمدن
invite offers,بمزایده گذاشتن
invited,طلبیده
invitee,مدعو
invoice,فاکتور نوشتن
involuntary,غیر ارادی
involute,پیچدار شدن
involution,کردن عبارت
involve,گرفتار ساختن
involve in,دچار کردن
involved,دامن گیر
involved in,دستاندر کار
involvement,گرفتاری
involving,متضمن
invulnerable,آسیب ناپذیر
inward,داخل رونده
inward light,نور باطنی
inweave,باهم بافتن
inwrought,نقشه دار
iodize,یود تزریق کردن
iodous,یودی
ion,ایون
ionic,زبان قدیمی مردم ایونی یونان
ionize,تبدیل بهیون کردن
ionosphere,یون کره
iota,ایوتا
Iowa,آیوا
iPhone battery,  باتری آیفون
Iquique,اکیکه
Iraj,ایرج
Iran,ایران
Iran-Dokht,ایراندخت
iranian,وابسته به ایران
Iranian acre,جریب
Iranian Students Press,خبرگزاری دانشجویان ایران
Iran's Islamic revolution,انقلاب اسلامی ایران
Iraq,عراق
Iraq National Conference,کنفرانس ملی عراق
iraqi,وابسته به عراق
Iraqi authorities,مسئولان عراقی
Iraqi National Guard,گارد ملی عراق
Iraqi opposition groups,گروه های مخالف عراقی
irascible,تند مزاج
Ireland,ایرلند
ireversible,لغو نشدنی
iris,عنبیه
iris of the eye,عنبیه
Irish,ایرلندی
irksome,کسل کننده
IRNA,خبرگزاری جمهوری اسلامی
iron,آهن پوش کردن
iron age,عصر آهن
iron bands,آهن جامه
iron collar,غل
iron foundry,کارخانه ذوب آهن
iron will,اراده محکم
ironbound,نجیر شده
ironclad,آهن پوش
ironer,اتو کش
ironic,طعنهآمیز
ironmonger,فروشنده آهن آلات
ironmongery,آهنفروشی
ironsmith,آهنگر
ironstone,سنگ آهن
ironware,ظروف آهنی
ironwood,دمیر آغاجی
ironwork,آهنکاری
ironworker,آهنساز
ironworks,آهنریزی
irony,طعن
irradiate,نور افکندن
irradiation,پرتو افکنی
irrational,غیر عقلانی
irrational number,عدد اصم
irreclaimable,درست نشدنی
irreconcilable,اصلاح ناپذیر
irrecoverable,لاوصول
irredenta,جبران نشده
irreducible,سادهنشدنی
irreflexible,قیر قابل انعکاس
irreflexive,بدونبازتاب
irrefrangible,غیرقابل تجزیه
irregardless,صرفنظر از
irregular,خاج از قاعده
irregularity,بی قاعدگی
irrelative,نا مناسب
irrelevance,بی مناسبتی
irrelevancy,نا مربوطی
irrelevant,خارج از موزوء
irreligion,لامذهبی
irreligious,از دین برگشته
irreligous,لامذهب
irremediable,چاره ناپذیر
irremovable,برداشتهنشدنی
irreparable,جبران ناپذیر
irrepealable,فسخ نکردنی
irreplaceable,غیر منقول
irrepressible,جلوگیری نکردنی
irreproachable,ملامت نکردنی
irresistibility,مقاومت ناپذیری
irresoluble,آزاد نشدنی
irresolute,غیر مصمم
irresoluteness,بی تصمیمی
irresolution,دمدمی مزاجی
irresolvable,تجزیهناپذیر
irrespective,صرفنظر از
irrespirable,دمنزدنی
irresponsible,وظیفهنشناس
irretrievable,باز نیافتنی
irreverence,عدم احترام
irreversible,جبران ناپذیر
irrevocability,برگشت ناپذیری
irrevocable,بلا عزل
irrigate,آبیاری کردن
irrigated,مشروب
irrigated farming,زراعت آبی
irrigation,آبیاری
irrigator,آبیار
irritability,زود رنجی
irritable,زودخشم
irritant,سوزش آور
irritate,آزرده کردن
irritated,رنجیده
irritating,آزار دهنده
irritation,رنجیدگی
irrupt,آتش فشان کردن
irruption,ایجاد ناگهانی
Is,هست
is there,آنجاست
Isaac,اسحق
isallobar,هوا شناسی
isallobaric,هوا شناسی
isinglass,ورقه میکا
Islam,دین اسلام
Islam Abad,اسلام آباد
Islamic,اسلامی
Islamic Center,مرکز اسلامی
Islamic Republic of Iran,جمهوری اسلامی ایران
islamic revolution,انقلاب اسلامی
Islamic Shoura,مجلس شورا
Islamic Shoura Council,مجلس شورای اسلامی
Islamic world,جهان اسلام
island,جزیره
islander,جزیره نشین
islands,جزایر
isle,جزیره
ISNA,ایسنا
isobar,هم فشار
isobare,هم فشار
isochromatioc,متساوی اللون
isoclinal,هم خواب
isocline,همشیب
isodiametric,هم اندازه
isodose,همشعاع
isogamete,هم گامیت
isogamy,جورگانی
isogony,همرشدی
isolate,منفرد کردن
isolated,متروک
isolation,کناره جوی
isolationism,انزواگرائی
isolationist,کناره جو
isomer,ایزومر
isomerous,همفرمول
isometric,هم اندازه
isometropia,همدیدی
isomorphism,هم ریختی
isomorphous,همریخت
isopiestic,هم فشار
isopleth,هم چند
isopods,جورپایان
isosceles,متساوی الاساقین
isotepra,جوربالان
isotherm,متحدالحراره
isotonic,هم توان
isotope,جسم ایزوتوپ
isotropic,همگرای
Israel,اسراییل
Israeli,اسراییلی
issuable,انتشار دادنی
issuance,صدور
issuance of decree,ابلاق حکم
issuant,منتشر شونده
issue,نتیجه بحث
issued decrees,احکام صادره
issuer,صادر کننده
issues,مطالب
Istanbul,استانبول
isthmian,گردنهای
isthmic,گردنهای
It,این
it is feared,بیم آن میرود
it is over with her,کارش ساخته است
it is over with him,کارش ساخته است
it is worth nothing,به مفت هم نمی ارزد
it seem,به نظر رسیدن
it seems,به نظر می رسد
it suggests,آمده است
Italian,ایتالیائی
Italy,ایتالیا
itch,خارش کردن
itching,خارش
itchthyolatry,ماهی پرستی
Itefaghia,اتفاقیه
item,فقره
items,اقلام
iterant,ازسر گیرنده
iteration,ازسرگیری
itineracy,سیاری
itinerancy,سیاری
itinerary,برنامه سفر
itinerate,مسافرت تبلیغاتی کردن
its,مال او
itself,خودش
ivory,عاجی
Ivory Coast,ساحل عاج
ivory tower,محل دنج
ivy,پیچک
Iyad Allawi,ایاد علاوی
izan,اذان
jaber,گپ زنی
jacal,چپر
jacinthe,نارنجی روشن
jack,جک زدن
jack in the box,علی ورجه
Jack Nocholson,جک نیکولسن
jack of all trades,هر کاره
Jack Straw,جک استراو
jackal,شغال
jackass,نره خر
jackdaw,زاغچه
jacket,درپوشه گذاردن
Jackson,جکسون
jackstay,بند تیر
Jacob,یعقوب
jacquerie,دهاتیان
Jacques,ژاک
Jacques Chirac,ژاک شیراک
jactation,لاف زنی
jactitation,لاف زنی
jade,ژاد
jadeite,یشم سبز
jaeger,مرد شکارچی
Jafar,جعفر
jag,دندانهدار کردن
jagged,دندانهدار
jaggery,شکر زرد
Jahad,جهاد
Jahan,جهان
Jahanbxsh,جهانبخش
Jahandar,جهاندار
Jahangir,جهانگیر
Jahanpur,جهانپور
Jahanshah,جهانشاه
Jahanshir,جهانشیر
Jahiliyyah,جاهلیت
jail,دستاق
jailor,زندانبان
jailors,زندانیان
Jakarta,جاکارتا
jakes,درهم ریخته
Jalal,جلال
Jalal Abad,جلال آباد
Jalal Talebani,جلال طالبانی
jalap,داروی مسهل
Jalil,جلیل
Jalili,جلیلی
