en,es,de,fa,ar
Seyed Mohammad Bagher Al Hakim,Seyed Mohammad Bagher Al Hakim,Seyed Mohammad Bagher Al Hakim,سید محمد باقر الحکیم,سيد محمد باقر الحكيم
Sharif Ali Ben Al Hossein,Sharif Ali Ben Al Hossein,Sharif Ali Ben Al Hossein,شریف علی بن الحسین,الشريف علي بن الحسين
Show details...,Mostrar detalles...,Details anzeigen...,نمایش جزئیات ...,إظهار التفاصيل...
Showing _START_ to _END_ of _TOTAL_ entries,,_START_ bis _END_ von _TOTAL_ Einträgen werden angezeigt,نمایش _شروع_ تا _پایان_ ورودی های _TOTAL_,إظهار إجمالي الإدخالات من البداية إلى النهاية
Sign Dashboard,Firmar panel,Sign-Dashboard,داشبورد تابلو,لوحة معلومات التوقيع
Sign Edit Address,Firmar editar dirección,Unterschrift Adresse bearbeiten,امضا ویرایش آدرس,توقيع تعديل العنوان
Sign Of Defeat In Corpus,Signo De Derrota En Corpus,Zeichen Der Niederlage Im Korpus,نشانه شکست در جسد,علامة الهزيمة في الجسد
Slap On The Face,Bofetada En La Cara,Backpfeife,سیلی به صورت,صفعة على الوجه
Slip Of The Tongue,Lapsus Linguae,Versprecher,لغزش زبان,زلة لسان
So Much The Better For You,Mucho Mejor Para Ti,Umso Besser Für Dich,خیلی بهتر برای شما,هذا أفضل لك كثيرًا
Society For Defending The Values Of Islamic Revolu,Sociedad Para La Defensa De Los Valores De La Revolución Islámica,Gesellschaft Zur Verteidigung Der Werte Der Islamischen Revolution,جمعیت دفاع از ارزش های انقلاب اسلامی,جمعية الدفاع عن قيم الثورة الإسلامية
Sold By The Piece,Vendido Por Pieza,Verkauf Pro Stück,به صورت قطعه ای فروخته می شود,يباع بالقطعة
Something went wrong!,¡Algo salió mal!,Etwas ist schiefgelaufen!,مشکلی پیش آمد!,لقد حدث خطأ ما!
Speaker Of The House,Presidente De La Cámara De Representantes,Sprecher Des Repräsentantenhauses,رئیس مجلس,رئيس مجلس النواب
Speaker Of The Judiciary,Presidente Del Poder Judicial,Sprecher Der Justiz,سخنگوی قوه قضائیه,رئيس السلطة القضائية
Speaking The Same Language,Hablando El Mismo Idioma,Die Gleiche Sprache Sprechen,صحبت کردن به یک زبان,التحدث بنفس اللغة
Splitting Of The Moon,División De La Luna,Spaltung Des Mondes,شکافته شدن ماه,انقسام القمر
Start A New Life Again,Empezar Una Nueva Vida De Nuevo,Wieder Ein Neues Leben Beginnen,دوباره زندگی جدیدی را شروع کن,ابدأ حياة جديدة مرة أخرى
Start On A Journey,Empezar Un Viaje,Eine Reise Beginnen,سفری را آغاز کن,البدء في رحلة
State Of Being Included,Estado De Estar Incluido,Zustand Des Eingeschlossenseins,حالت شامل بودن,حالة التضمين
Stay Up All Night,Permanecer Despierto Toda La Noche,Die Ganze Nacht Wach Bleiben,تمام شب بیدار بمان,البقاء مستيقظا طوال الليل
Step by step to your dream job,,Schritt für Schritt zu deinem Traum Job,گام به گام تا شغل رویایی شما,الخطوة خطوة بخطوة نحو حلمك وظيفة
Stick In The Mud,Quedarse Atascado En El Barro,Im Schlamm Stecken,در گل و لای فرو رفتن,عصا في الوحل
Stoop To A Favor,Rebajarse A Un Favor,Sich Zu Einem Gefallen Herablassen,به یک لطف تعظیم کن,انحنى لصالح
Strain In The Relationship,Tensión En La Relación,Belastungen In Der Beziehung,تنش در رابطه,توتر في العلاقة
Strong As A Lion,Fuerte Como Un León,Stark Wie Ein Löwe,قوی مثل شیر,قوي كالأسد
Strong As An Elephant,Fuerte Como Un Elefante,Stark Wie Ein Elefant,قوی مثل فیل,قوي كالفيل
Submit a new request,Enviar una nueva solicitud,Senden Sie eine neue Anfrage,ارسال درخواست جدید,إرسال طلب جديد
Submit a test request,Enviar una solicitud de prueba,Senden Sie eine Testanfrage,ارسال درخواست تست,إرسال طلب اختبار
Submit Request,Enviar solicitud,Anfrage senden,ارسال درخواست,إرسال الطلب
Sun Of A Gun,Sol De Un Arma,Sonne Einer Waffe,خورشیدِ تفنگ,شمس البندقية
Supreme Council For The Islamic Revolution In Iraq,Consejo Supremo Para La Revolución Islámica En Irak,Oberster Rat Für Die Islamische Revolution Im Irak,مجلس اعلای انقلاب اسلامی عراق,المجلس الأعلى للثورة الإسلامية في العراق
Supreme Council Of The Islamic Revolution In Iraq,Consejo Supremo De La Revolución Islámica En Irak,Oberster Rat Der Islamischen Revolution Im Irak,مجلس اعلای انقلاب اسلامی عراق,المجلس الأعلى للثورة الإسلامية في العراق
Survival Of The Fittest,La Supervivencia Del Más Apto,Überleben Des Stärkeren,بقای شایسته ترین,البقاء للأصلح
Tell Us What Is Your Idea!,¡Cuéntanos Cuál Es Tu Idea!,Erzählen Sie Uns Von Ihrer Idee!,ایده ات چیه بهمون بگو!,أخبرنا ما هي فكرتك!
Tell us your request,Indícanos tu solicitud,Teilen Sie uns Ihr Anliegen mit,درخواست خود را به ما بگویید,أخبرنا بطلبك
The <0> <1> successfully!,¡El <0> se <1> correctamente!,Die <0> wurde <1> gefunden!,<0> مورد نظر با موفقیت <1> شد!,تم <1> على <0> بنجاح!
The <0> added successfully!,¡El <0> se agregó correctamente!,Die <0> wurde erfolgreich hinzugefügt!,<0> مورد نظر با موفقیت اضافه شد!,تمت إضافة <0> بنجاح!
The <0> found successfully!,¡El <0> se encontró correctamente!,Die <0> wurde erfolgreich gefunden!,<0> مورد نظر با موفقیت یافت شد!,تم العثور على <0> بنجاح!
The <0> is <1> successfully!,¡El <0> se <1> correctamente!,Die <0> wurde <1> gefunden!,<0> مورد نظر با موفقیت <1> شد!,تم <1> على <0> بنجاح!
The <0> modified successfully!,¡El <0> se actualizó correctamente!,Die <0> wurde erfolgreich aktualisiert!,<0> مورد نظر با موفقیت بروزرسانی شد!,تم تحديث <0> بنجاح!
The <0> or <1> is incorrect!,¡El <0> de <1> o contraseña es incorrecto!,Der <0> oder <1> ist falsch!,<0> یا <1> اشتباه است!,<0> أو <1> غير صحيحة!
The <0> removed successfully!,¡El <0> se eliminó correctamente!,Die <0> wurde erfolgreich entfernt!,<0> مورد نظر با موفقیت حذف شد!,تمت إزالة <0> بنجاح!
The <0> sent to <1> successfully!,El mensaje <0> se envió a <1> correctamente.,Die Nachricht <0> wurde erfolgreich an <1> gesendet!,<0> با موفقیت به <1> ارسال شد!,تم إرسال الرسالة <0> إلى <1> بنجاح!
The <0> updated successfully!,¡El <0> se actualizó correctamente!,Die <0> wurde erfolgreich aktualisiert!,<0> مورد نظر با موفقیت بروزرسانی شد!,تم تحديث <0> بنجاح!
The Administrator User Group,,Administratorgruppe,گروه کاربری مدیر,مجموعة مستخدمي الإدارة
The approval message and other related messages will be sent to this <0>.,El mensaje de aprobación y otros mensajes relacionados se enviarán a esta dirección de <0>.,Die Genehmigungsnachricht und weitere zugehörige Nachrichten werden an diese <0> gesendet.,پیام تاییدیه فرم و سایر پیام های مرتبط به این <0> ارسال خواهد شد.,سيتم إرسال رسالة الموافقة والرسائل الأخرى ذات الصلة إلى عنوان <0> هذا.
The Author User Group,,Autorgruppe,گروه کاربری نویسنده,مجموعة مستخدمي المؤلفين
The Day After Tomorrow,Pasado Mañana,Übermorgen,پس فردا,بعد غد
The Day Before Yesterday,Anteayer,Vorgestern,پریروز,أول أمس
The default download links path,,„Standardpfad für Download-Links“,مسیر پیش فرض لینک های دانلود,مسار رابط التنزيل الافتراضي
The default homepage path,,„Standardpfad für die Startseite“,مسیر پیش فرض صفحه اصلی,مسار الصفحة الرئيسية الافتراضي
The Editor User Group,,Editorgruppe,گروه کاربری ویرایشگر,مجموعة مستخدمي المحررين
The Five Holy Ones,Los Cinco Santos,Die Fünf Heiligen,پنج مقدس,الخمسة القديسين
The Hell With It,Al Diablo Con Eso,Scheiß Die Wand An,لعنت بهش,الجحيم معها
The International Crisis Group,El Grupo De Crisis Internacional,Die Internationale Krisengruppe,گروه بحران بین المللی,مجموعة الأزمات الدولية
The location link on the map,,„Standortlink auf der Karte“,لینک مکان روی نقشه,رابط الموقع على الخريطة
The main members and personnel of the website,,Hauptmitglieder und Mitarbeiter der Website,اعضا و پرسنل اصلی وب سایت,أعضاء الموقع الرئيسيون وفريق العمل
The main menu of the website,,Hauptmenü der Website,منوی اصلی وب سایت,قائمة الموقع الرئيسية
The main symbol path to show on the errors,,„Hauptsymbolpfad für Fehler“,مسیر نماد اصلی برای نمایش در خطاها,مسار الأيقونات الرئيسية للعرض في حالة وجود أخطاء
The main symbol path to show while system is processing,,„Hauptsymbolpfad für Systemverarbeitung“,مسیر نماد اصلی برای نمایش در حین پردازش سیستم,مسار الأيقونات الرئيسية للعرض أثناء معالجة النظام
The main symbol path to show while system is waiting,,„Hauptsymbolpfad für Systemwartezeiten“,مسیر نماد اصلی برای نمایش در حین انتظار سیستم,مسار الأيقونات الرئيسية للعرض أثناء انتظار النظام
The Manager User Group,,Managergruppe,گروه کاربری مدیر,مجموعة مستخدمي الإدارة
The Middle East Peace Process,El Proceso De Paz En Oriente Medio,Der Friedensprozess Im Nahen Osten,روند صلح خاورمیانه,عملية السلام في الشرق الأوسط
The Night Before Last,Anteanoche,Vorgestern Abend,شب قبل از دیشب,الليلة قبل الماضية
The Registered User Group,,Registrierte Benutzergruppe,گروه کاربران ثبت نام شده,مجموعة المستخدمين المسجلين
The request time has expired!,¡El tiempo de espera para la solicitud ha expirado!,Die Anfragezeit ist abgelaufen!,زمان ارسال این درخواست به پایان رسیده است!,لقد انتهى الوقت المخصص للطلب!
The requested URL was not found on this server.,La URL solicitada no se encontró en este servidor.,Die angeforderte URL wurde auf diesem Server nicht gefunden.,آدرس اینترنتی (URL) مورد نظر در این سرور یافت نشد.,لم يتم العثور على عنوان URL المطلوب على هذا الخادم.
The short slogan of the website,,Kurzslogan der Website,شعار کوتاه وب سایت,شعار الموقع القصير
The side menu to show on the most pages,,„Seitenmenü für die meisten Seiten“,منوی کناری برای نمایش در اکثر صفحات,قائمة جانبية للعرض في معظم الصفحات
The Special User Group,,Spezialbenutzergruppe,گروه کاربری ویژه,مجموعة مستخدمين خاصة
The Statue Of Liberty,La Estatua De La Libertad,Die Freiheitsstatue,مجسمه آزادی,تمثال الحرية
The Super User Group,,Superbenutzergruppe,گروه کاربری مدیر,مجموعة مستخدمي الإدارة
The Supervisory Committee Of Opec,El Comité De Supervisión De La OPEP,Der Überwachungsausschuss Der OPEC,کمیته نظارتی اوپک,اللجنة الإشرافية لمنظمة أوبك
"The U.S.,ايالات متحده آمريکا","Estados Unidos,ايالات متحده آمريکا","Die USA,ايالات متحده آمريکا","ایالات متحده آمریکا، ایالات متحده آمریکا","الولايات المتحدة,ايالات الولايات المتحدة الأمريكية"
The United States Of America,Los Estados Unidos De América,Die Vereinigten Staaten Von Amerika,ایالات متحده آمریکا,الولايات المتحدة الأمريكية
The username or password is incorrect!,¡El nombre de usuario o contraseña es incorrecto!,Der Benutzername oder das Passwort ist falsch!,نام کاربری یا رمز عبور اشتباه است!,اسم المستخدم أو كلمة المرور غير صحيحة!
The website full logo path,,„Logopfad der Website“,مسیر لوگوی کامل وب سایت,مسار شعار الموقع بالكامل
The website main banner path,,„Hauptbannerpfad der Website“,مسیر بنر اصلی وب سایت,مسار بانر الموقع الرئيسي
The website main logo path,,„Logopfad der Website“,مسیر لوگوی اصلی وب سایت,مسار شعار الموقع الرئيسي
There are <0> active requests related to this one!,¡Hay <0> solicitudes activas relacionadas con esta!,Es gibt <0> aktive Anfragen zu dieser Anfrage!,تعداد <0> درخواست فعال مرتبط با این مورد وجود دارد!,هناك <0> طلبات نشطة متعلقة بهذا!
There is no Item to show!,¡No hay ningún artículo para mostrar!,Es gibt keinen Artikel zum Anzeigen!,هیچ موردی برای نمایش وجود ندارد!,لا يوجد عنصر لإظهاره!
This <0> <1> successfully!,¡El <0> se <1> correctamente!,Die <0> wurde <1> gefunden!,<0> مورد نظر با موفقیت <1> شد!,تم <1> على <0> بنجاح!
This <0> added successfully!,¡El <0> se agregó correctamente!,Die <0> wurde erfolgreich hinzugefügt!,<0> مورد نظر با موفقیت اضافه شد!,تمت إضافة <0> بنجاح!
This <0> found successfully!,¡El <0> se encontró correctamente!,Die <0> wurde erfolgreich gefunden!,<0> مورد نظر با موفقیت یافت شد!,تم العثور على <0> بنجاح!
This <0> is <1> successfully!,¡El <0> se <1> correctamente!,Die <0> wurde <1> gefunden!,<0> مورد نظر با موفقیت <1> شد!,تم <1> على <0> بنجاح!
This <0> modified successfully!,¡El <0> se actualizó correctamente!,Die <0> wurde erfolgreich aktualisiert!,<0> مورد نظر با موفقیت بروزرسانی شد!,تم تحديث <0> بنجاح!
This <0> removed successfully!,¡El <0> se eliminó correctamente!,Die <0> wurde erfolgreich entfernt!,<0> مورد نظر با موفقیت حذف شد!,تمت إزالة <0> بنجاح!
This <0> updated successfully!,¡El <0> se actualizó correctamente!,Die <0> wurde erfolgreich aktualisiert!,<0> مورد نظر با موفقیت بروزرسانی شد!,تم تحديث <0> بنجاح!
This <0> will show to the <1>.,Este <0> se mostrará al <1>.,Dieses <0> wird dem <1> angezeigt.,این <0> به <1> نمایش داده خواهد شد.,سيتم عرض هذا <0> لـ <1>.
This bill paid before!,¡Esta factura ya fue pagada!,Diese Rechnung wurde bereits bezahlt!,این صورتحساب قبلا پرداخت شده است!,تم دفع هذه الفاتورة من قبل!
This bill was paid before!,¡Esta factura ya fue pagada antes!,Diese Rechnung wurde bereits bezahlt!,این صورتحساب قبلا پرداخت شده است!,لقد تم دفع هذه الفاتورة من قبل!
Tie With A Rope,Atar Con Una Cuerda,Mit Einem Seil Festbinden,با طناب ببند,ربط بحبل
Tied With A Rope,Atado Con Una Cuerda,Mit Einem Seil Gefesselt,با طناب بسته شده,مربوط بحبل
Tiles failed to load: Please check your internet connection.,Error al cargar los mosaicos: Comprueba tu conexión a internet.,Kacheln konnten nicht geladen werden: Bitte überprüfen Sie Ihre Internetverbindung.,کاشی ها بارگیری نشدند: لطفاً اتصال اینترنت خود را بررسی کنید.,فشلت عملية تحميل البلاط: يرجى التحقق من اتصالك بالإنترنت.
Title Of The Twelfth Imam,Título Del Duodécimo Imán,Titel Des Zwölften Imams,لقب امام دوازدهم,لقب الإمام الثاني عشر
To Be Able To Supervise,Poder Supervisar,Beaufsichtigen Zu Können,تا بتواند نظارت کند,أن تكون قادرًا على الإشراف
To Feed With Fodder,Alimentar Con Forraje,Mit Futter Füttern,با علوفه تغذیه کردن,التغذية بالعلف
To manage all <0>,Para gestionar todo <0>,Um alles zu verwalten <0>,مدیریت تمام <0>,لإدارة كل شيء <0>
To manage all received comments,,Verwalten aller eingegangenen Kommentare,برای مدیریت تمام نظرات دریافتی,لإدارة جميع التعليقات الواردة
To manage all received emails and messages,,Verwalten aller eingegangenen E-Mails und Nachrichten,برای مدیریت تمام نظرات دریافتی ایمیل ها و پیام ها,رسائل البريد الإلكتروني والرسائل
To manage all the user groups of the website,,Verwalten aller Benutzergruppen der Website,برای مدیریت تمام گروه های کاربری وب سایت,لإدارة جميع مجموعات مستخدمي الموقع
To manage all the website's users,,Verwaltung aller Website-Benutzer,برای مدیریت تمام کاربران وب سایت,لإدارة جميع مستخدمي الموقع
To manage the <0>,Para gestionar todo <0>,Um alles zu verwalten <0>,مدیریت <0>,لإدارة كل شيء <0>
To manage the back-end website settings,,Verwaltung der Backend-Einstellungen,برای مدیریت تنظیمات بخش مدیریت وب سایت,لإدارة إعدادات قسم إدارة الموقع
To manage website's categories,,Verwaltung der Website-Kategorien,برای مدیریت دسته بندی های وب سایت,لإدارة فئات الموقع
To manage website's posts and pages,,Verwaltung der Website-Beiträge und -Seiten,برای مدیریت پست ها و صفحات وب سایت,لإدارة منشورات الموقع الصفحات
To manage website's tags,,Verwaltung der Website-Tags,برای مدیریت تگ های وب سایت,لإدارة وسوم الموقع
To Seek Is To Find,Buscar Es Encontrar,Suchen Heißt Finden,جستجو کردن یعنی یافتن,البحث هو العثور
To The Highest End,Hasta El Extremo Más Alto,Bis Zum Höchsten Ende,به بالاترین حد,إلى أقصى حد
To The Position Of,A La Posición De,In Die Position Von,به جایگاهِ,إلى موقف
To Use As An Exuse,Usar Como Excusa,Als Ausrede Benutzen,به عنوان بهانه استفاده کردن,لاستخدامه كعذر
Too Good To Be True,Demasiado Bueno Para Ser Verdad,"Zu Schön, Um Wahr Zu Sein",بیش از حد خوب است که واقعی باشد,جيد جدًا لدرجة يصعب تصديقها
Track your latest refferals,Seguimiento de tus últimas referencias,Verfolgen Sie Ihre neuesten Empfehlungen,آخرین پیشنهادات خود را پیگیری کنید,تتبع أحدث الإحالات الخاصة بك
Track your request,Seguimiento de tu solicitud,Verfolgen Sie Ihre Anfrage,پیگیری درخواست شما,تتبع طلبك
Tracking Code,Código de seguimiento,Tracking-Code,کد رهگیری,رمز التتبع
True To Ones Promise',Fiel A Su Promesa,Seinem Versprechen Treu Bleiben',به وعده خود وفا می کنند,وفيا لوعده
True To One'S Promise,Promesa verdadera,Wahres Versprechen,درست پیمان,
Trust Press News Agency,Agencia De Noticias Trust Press,Trust Press Nachrichtenagentur,خبرگزاری تراست پرس,وكالة أنباء تراست برس
Try to send the activation email again!,¡Intenta enviar el correo electrónico de activación nuevamente!,"Versuchen Sie erneut, die Aktivierungs-E-Mail zu senden!",سعی کنید دوباره ایمیل فعال سازی را ارسال کنید!,حاول إرسال رسالة التفعيل مرة أخرى!
Tu Whit Tu Whoo,Tu Whit Tu Whoo,"Du Weißt, Du Whoo","تو با تو، هووو",تو ويت تو وو
Turn Out To Be A Liar,Resultar Ser Un Mentiroso,Sich Als Lügner Herausstellen,معلوم میشه دروغگو بودن,اتضح أنه كاذب
Unable to retrieve your location,No se puede recuperar tu ubicación. Por favor,Ihr Standort konnte nicht abgerufen werden,بازیابی موقعیت مکانی شما امکان پذیر نیست,تعذر استرداد موقعك
Unable to retrieve your location. Please allow location access.,"No se puede recuperar tu ubicación. Por favor, permite el acceso a la ubicación.",Ihr Standort konnte nicht abgerufen werden. Bitte erlauben Sie den Standortzugriff.,بازیابی موقعیت مکانی شما امکان پذیر نیست. لطفاً دسترسی به موقعیت مکانی را مجاز کنید.,تعذر استرداد موقعك. يُرجى السماح بالوصول إلى الموقع.
Under The Attention Of,Bajo La Atención De,Unter Der Aufmerksamkeit Von,تحت توجه,تحت اهتمام
Under The Name Of,Bajo El Nombre De,Unter Dem Namen,تحت نام,تحت اسم
Under The Notion That,Bajo La Noción De Que,"Unter Der Annahme, Dass",تحت این تصور که,تحت فكرة أن
Under The Presumption That,Bajo La Presunción De Que,"Unter Der Annahme, Dass",تحت این فرض که,على افتراض أن
Under The Pretence That,Bajo El Pretexto De Que,"Unter Dem Vorwand, Dass",به بهانه اینکه,تحت ذريعة أن
Under The Protection Of,Bajo La Protección De,Unter Dem Schutz Von,تحت حفاظت,تحت حماية
United Nations Security Council,Consejo De Seguridad De Las Naciones Unidas,Sicherheitsrat Der Vereinten Nationen,شورای امنیت سازمان ملل متحد,مجلس الأمن التابع للأمم المتحدة
United States Food And Drug Administration,Administración De Alimentos Y Medicamentos De Los Estados Unidos,US-Amerikanische Food And Drug Administration,سازمان غذا و داروی ایالات متحده,إدارة الغذاء والدواء الأمريكية
Use Up In Advance,Utilizar Por Adelantado,Im Voraus Verbrauchen,از قبل استفاده کنید,استخدم مقدما
Used Up In Advance,Usado Por Adelantado,Im Voraus Aufgebraucht,از قبل استفاده شده,تم استخدامها مسبقًا
User Groups Management,Administrar grupos de usuarios,Benutzergruppenverwaltung,مدیریت گروه های کاربری,إدارة مجموعات المستخدمين
Users Management,Gestión de usuarios,Benutzerverwaltung,مدیریت کاربران,إدارة المستخدمين
View As A Model,Ver Como Modelo,Als Modell Betrachten,به عنوان الگو ببینید,عرض كنموذج
View your earnings report,Ver tu informe de ganancias,Zeigen Sie Ihren Verdienstbericht an,گزارش درآمد خود را مشاهده کنید,عرض تقرير أرباحك
Violation Of A Contract,Violación De Un Contrato,Vertragsverletzung,نقض قرارداد,انتهاك العقد
Waiting for,Esperando a,Warten auf,در حال,في انتظار
Waiting to,Esperando a,Warten auf,در حال,في انتظار
Waiting to <0> to the <1>,Esperando a <0> a la <1>,Warten auf <0> bis <1>,در حال <0> به <1>,في انتظار <0> إلى <1>
Wane Of The Moon,Menguante De La Luna,Abnehmender Mond,غروب ماه,انخفاض القمر
Website terms and policies,Términos y políticas del sitio web,Website-Bedingungen und -Richtlinien,قوانین و مقررات وبسایت,شروط وسياسات الموقع
Well Known Appspecific Com Chrome Devtools Json,Well Known Appspecific Com Chrome Devtools JSON,Bekannte appspezifische Com Chrome Devtools Json,ابزارهای توسعه کروم (Chrome Devtools) شناخته شده برای اپ های خاص (Appspecific) و جیسون (Json),تطبيقات معروفة خاصة بمطوري Chrome بتنسيق Json
What Do You Mean,Qué Quieres Decir,Wie Meinst Du Das,منظورت چیه؟,ماذا تقصد
Who Knows Numerous Arts,Quien Conoce Numerosas Artes,Der Zahlreiche Künste Kennt,که هنرهای بی شماری می داند,من يعرف العديد من الفنون
Who refer you this request?,¿Quién te refirió esta solicitud?,Wer hat Ihnen diese Anfrage weitergeleitet?,چه کسی این درخواست را به شما ارجاع داده است؟,من يحيلك إلى هذا الطلب؟
Wisdom To Earn A Living,Sabiduría Para Ganarse La Vida,"Weisheit, Um Den Lebensunterhalt Zu Verdienen",خرد برای امرار معاش,الحكمة لكسب العيش
With A Wide Circulation,Con Una Amplia Circulación,Mit Einer Großen Auflage,با تیراژ وسیع,مع انتشار واسع
With All Ones Heart',Con Todo El Corazón,Mit Ganzem Herzen,با تمام وجودم,بكل قلبه
With All One'S Heart,Con todo mi corazón y alma,Mit ganzem Herzen und ganzer Seele,با دل و جان,
With The Intention Of,Con La Intención De,"Mit Der Absicht,",با نیتِ,مع نية
You are here...,Estás aquí...,Sie sind hier...,تو اینجایی...,أنت هنا...
You are logged in!,¡Has iniciado sesión!,Du bist angemeldet!,شما وارد شده اید!,لقد قمت بتسجيل الدخول!
You Can Have It,Puedes Tenerlo,Du Kannst Es Haben,تو میتونی داشته باشیش,يمكنك الحصول عليه
You can not <0> by these <1>,No puedes <0> por estos <1>,Sie können nicht <0> durch diese <1>,شما نمی توانید با این <1> <0> کنید,لا يمكنك <0> بواسطة هذه <1>
You can not <0> by this <1>,No puedes <0> por estos <1>,Sie können nicht <0> durch diese <1>,شما نمی توانید با این <1> <0> کنید,لا يمكنك <0> بواسطة هذه <1>
You can not <0> this item!,¡No puedes <0> este artículo!,Sie können diesen Artikel nicht <0>!,شما امکان <0> این مورد را ندارید!,لا يمكنك <0> هذا العنصر!
You do not have enough access to this action!,¡No tienes suficiente acceso para realizar esta operación!,"Sie verfügen nicht über ausreichende Zugriffsrechte, um diesen Vorgang auszuführen!",شما دسترسی کافی برای انجام این عملیات را ندارید!,ليس لديك القدرة الكافية على إجراء هذه العملية!
You have enough balance in your wallet!,¡Tienes suficiente saldo en tu billetera!,Sie haben ausreichend Guthaben in Ihrem Wallet!,شما موجودی کافی در کیف پول خود دارید,لديك رصيد كافٍ في محفظتك!
You signed out successfully!,¡Has cerrado sesión exitosamente!,Sie haben sich erfolgreich abgemeldet!,شما با موفقیت از سیستم خارج شدید!,لقد قمت بتسجيل الخروج بنجاح!
Your <0> <1> successfully!,¡El <0> se <1> correctamente!,Die <0> wurde <1> gefunden!,<0> مورد نظر شما با موفقیت <1> شد!,تم <1> على <0> بنجاح!
Your <0> is <1> <2>!,¡El <0> se <1> <2>!,Die <0> wurde <1> <2>!,<0> مورد نظر شما <1> <2> است!,تم <1> على <0> <2>!
Your <0> is <1> successfully!,¡El <0> se <1> correctamente!,Die <0> wurde <1> gefunden!,<0> مورد نظر شما با موفقیت <1> شد!,تم <1> على <0> بنجاح!
Your <0> is <1>!,¡El <0> se <1>!,Die <0> wurde <1>!,<0> مورد نظر شما <1> است!,تم <1> على <0>!
Your account will need to be activated if you change the field!,"¡Si cambias este campo, tu cuenta debería ser activada!","Wenn Sie dieses Feld ändern, sollte Ihr Konto aktiviert werden!","اگر این فیلد را تغییر دهید، حساب شما باید فعال شود!","إذا قمت بتغيير هذا الحقل، سيتم تفعيل حسابك!"
Your change draft for the <0> registered successfully!,¡Su documento de cambio para <0> se ha enviado correctamente!,Ihr Änderungsdokument für <0> wurde erfolgreich übermittelt!,سند تغییر شما برای <0> با موفقیت ثبت شد!,لقد تم إرسال مستند التغيير الخاص بك لـ <0> بنجاح!
Your first name,Tu nombre,Ihr Vorname,نام کوچک شما,اسمك الأول
"Your full name, you will known by this around the site","Tu nombre completo, por este nombre eres conocido en el sistema.","Ihr vollständiger Name, unter diesem Namen sind Sie im System bekannt.","نام کامل شما، شما را با این نام در سامانه می شناسند","اسمك الكامل، أنت معروف بهذا الاسم في النظام."
Your last name,Tu apellido,Ihr Nachname,نام خانوادگی شما,اسمك الأخير
"Your organization, institute, company, etc.","Organización, institución, empresa, etc.","Organisation, Institution, Unternehmen usw.","سازمان، موسسه، شرکت و غیره","منظمة، مؤسسة، شركة، الخ."
Your request is not valid!,¡Su solicitud no es válida!,Ihre Anfrage ist ungültig!,درخواست شما معتبر نیست!,طلبك غير صالح!
Your request sent successfully!,¡Su solicitud enviada exitosamente!,Ihre Anfrage wurde erfolgreich gesendet!,درخواست شما با موفقیت ارسال شد,تم ارسال طلبك بنجاح!
Your request submitted successfully!,¡El formulario fue enviado exitosamente!,Das Formular wurde erfolgreich abgeschickt!,درخواست شما با موفقیت ارسال شد!,تم إرسال النموذج بنجاح!
Your Satisfaction is our Greatest Goal,Su satisfacción es nuestro mayor objetivo.,Ihre Zufriedenheit ist unser größtes Ziel.,رضایت شما بزرگترین هدف ماست,رضاكم هو هدفنا الأكبر.
Your transaction verified successfully!,¡Su transacción se verificó correctamente!,Ihre Transaktion wurde erfolgreich verifiziert!,تراکش شما با موفقیت تایید شد!,تم التحقق من معاملتك بنجاح!
Your valid email address,Tu dirección de correo electrónico válida,Ihre gültige E-Mail-Adresse,آدرس ایمیل معتبر شما,عنوان بريدك الإلكتروني الصحيح
