x,en,es,de,fa,ar
Petrochemical,Petrochemical,Petroquímico,Petrochemie,پتروشیمی,البتروكيماويات
Petroglyph,Petroglyph,Petroglifo,Petroglyphe,"سنگ نگاره","نقش صخري"
Petroleum,Petroleum,Petróleo,Petroleum,نفت,البترول
Petrologist,Petrologist,Petrólogo,Petrologe,"سنگ شناس","عالم الصخور"
Petrology,Petrology,Petrología,Petrologie,"سنگ شناسی","علم الصخور"
Pettiness,Pettiness,Mezquindad,Kleinlichkeit,"ریزه کاری",تفاهات
Pettish,Pettish,Malhumorado,Launisch,"ریزه میزه",نكد
Pettitoes,Pettitoes,"Manos De Cerdo",Zehennägel,"پتی توس",بتيتوس
"Petty Landowner","Petty Landowner","Pequeño Terrateniente",Kleingrundbesitzer,"خرده مالک زمین","مالك أرض صغير"
Petulance,Petulance,"Mal Humor",Gereiztheit,"کج خلقی",الضيق
Petulancy,Petulancy,Petulancia,Gereiztheit,"کج خلقی",الشقاوة
Petulant,Petulant,Malhumorado,Gereizt,"کج خلق",متعجرف
Petunia,Petunia,Petunia,Petunie,پتونیا,البتونيا
Pewter,Pewter,Estaño,Zinn,پیوتر,القصدير
Peyman,Peyman,Peyman,Peyman,پیمان,بيمان
Peymaneh,Peymaneh,Peymaneh,Peymaneh,پیمانه,بيمانه
Peyvand,Peyvand,Peyvand,Peyvand,پیوند,بيوند
Pezhman,Pezhman,Pezhman,Peschman,پژمان,بيزمان
Phagocytosis,Phagocytosis,Fagocitosis,Phagozytose,فاگوسیتوز,البلعمة
Phalange,Phalange,Falange,Fingerglied,فالانژ,السلاميات
Phallic,Phallic,Fálico,Phallisch,فالیک,قضيبي
Phallicism,Phallicism,Falicismo,Phallismus,فالیسیسم,القضيب
Phanerogam,Phanerogam,Fanerógama,Phanerogamen,فانروگام,فانيروجام
Phanerogamia,Phanerogamia,Fanerogamia,Phanerogamie,فانروگامیا,فانيروجاميا
Phanerogamous,Phanerogamous,Fanerógamo,Phanerogam,فانروگاموس,"ظاهري التزاوج"
Phantasm,Phantasm,Fantasma,Trugbild,"خیال و وهم",وهم
Phantasma,Phantasma,Fantasma,Phantasma,فانتاسما,شبح
Phantom,Phantom,Fantasma,Phantom,فانتوم,شبح
Pharaoh,Pharaoh,Faraón,Pharao,فرعون,فرعون
Pharaohs,Pharaohs,Faraones,Pharaonen,"فرعون ها",الفراعنة
Pharisee,Pharisee,Fariseo,Pharisäer,فریسی,الفريسي
Pharmaceutical,Pharmaceutical,Farmacéutico,Pharmazeutika,دارویی,الصيدلانية
Pharmaceutics,Pharmaceutics,Farmacia,Pharmazie,داروسازی,"المستحضرات الصيدلانية"
Pharmacist,Pharmacist,Farmacéutico,Apotheker,داروساز,صيدلي
Pharmacologist,Pharmacologist,Farmacólogo,Pharmakologe,داروساز,صيدلاني
Pharmacology,Pharmacology,Farmacología,Pharmakologie,داروشناسی,"علم الأدوية"
Pharmacopoeia,Pharmacopoeia,Farmacopea,Arzneibuch,دارونامه,"دستور الأدوية"
Pharmacy,Pharmacy,Farmacia,Apotheke,داروخانه,صيدلية
Pharyngeal,Pharyngeal,Fáringeo,Rachen,حلقی,البلعوم
Pharynx,Pharynx,Faringe,Rachen,حلق,البلعوم
Phase,Phase,Fase,Phase,فاز,مرحلة
"Phase Microscope","Phase Microscope","Microscopio De Fases",Phasenmikroskop,"میکروسکوپ فازی","مجهر الطور"
Pheasant,Pheasant,Faisán,Fasan,قرقاول,التدرج
Phenobarbital,Phenobarbital,Fenobarbital,Phenobarbital,فنوباربیتال,الفينوباربيتال
Phenol,Phenol,Fenol,Phenol,فنل,الفينول
Phenology,Phenology,Fenología,Phänologie,فنولوژی,"علم الظواهر الطبيعية"
Phenomenal,Phenomenal,Fenomenal,Phänomenal,"خارق العاده",ظاهرة
Phenomenologist,Phenomenologist,Fenomenólogo,Phänomenologe,پدیدارشناس,"عالم الظواهر"
Phenomenology,Phenomenology,Fenomenología,Phänomenologie,پدیدارشناسی,الظاهراتية
Phenomenon,Phenomenon,Fenómeno,Phänomen,پدیده,ظاهرة
Phew,Phew,Uf,Puh,اوه,فيو
Philadelphia,Philadelphia,Filadelfia,Philadelphia,فیلادلفیا,فيلادلفيا
Philander,Philander,Flirtear,Schürzenjäger,"زن  نما",غازل
Philanthropic,Philanthropic,Filantrópico,Philanthropisch,نیکوکاری,خيري
Philanthropist,Philanthropist,Filántropo,Philanthrop,نیکوکار,محسن
Philanthropy,Philanthropy,Filantropía,Philanthropie,نیکوکاری,"الأعمال الخيرية"
Philantropist,Philantropist,Filántropo,Philanthrop,نیکوکار,"فاعل خير"
Philharmonic,Philharmonic,Filarmónico,Philharmonie,فیلارمونیک,"أوركسترا فيلهارمونية"
Philip,Philip,Felipe,Philipp,فیلیپ,فيليب
Philippine,Philippine,Filipino,Philippinisch,فیلیپینی,الفلبينية
Philippines,Philippines,Filipinas,Philippinen,فیلیپین,فيلبيني
Philogyny,Philogyny,Filología,Philologie,فیلولوژینی,فيلوجيا
Philology,Philology,Filología,Philologie,"زبان شناسی","علم اللغة"
Philoprogenitive,Philoprogenitive,Filoprogenitivo,Philoprogenitiv,فیلوپروژنیتیو,"محب للخير"
Philosopher,Philosopher,Filósofo,Philosoph,فیلسوف,فيلسوف
Philosophical,Philosophical,Filosófico,Philosophisch,فلسفی,فلسفي
Philosophize,Philosophize,Filosofar,Philosophieren,"فلسفه بافی کردن",تفلسف
Philosophy,Philosophy,Filosofía,Philosophie,فلسفه,فلسفة
Philter,Philter,Filtrar,Filter,فیلتر,فلتر
Philtre,Philtre,Filtro,Liebestrank,فیلتر,فلتر
Phisical,Phisical,Físico,Physisch,فیزیکی,جسديًا
Phlebotomist,Phlebotomist,Flebotomista,Phlebotomistin,فلبوتومیست,"فني سحب الدم"
Phlebotomy,Phlebotomy,Flebotomía,Aderlass,فلبوتومی,الفصد
Phlegm,Phlegm,Flema,Schleim,خلط,البلغم
Phlogistin,Phlogistin,Flogistina,Phlogistin,فلوژیستین,الفلوجستين
Phlogiston,Phlogiston,Flogisto,Phlogiston,فلوژیستون,"اللاهوب مادة كيميائية"
Phobic,Phobic,Fóbico,Phobisch,فوبیا,رهابي
Phoenix,Phoenix,Fénix,Phönix,فینیکس,فينيكس
Phomenic,Phomenic,Fonémico,Phomenisch,فمنیک,صوتي
Phone,Phone,Teléfono,Telefon,تلفن,هاتف
"Phone Book","Phone Book","Guía Telefónica",Telefonbuch,"دفترچه تلفن","دليل التلفونات"
Phonemic,Phonemic,Fonémica,Phonemisch,واجی,فونيمي
Phonemics,Phonemics,Fonémica,Phonemik,"واج شناسی","علم الصوتيات"
Phonetic,Phonetic,Fonético,Phonetisch,آوایی,صوتي
Phonetician,Phonetician,Fonetista,Phonetiker,آواشناس,"عالم الأصوات"
Phonetics,Phonetics,Fonética,Phonetik,آواشناسی,"علم الأصوات"
Phoney,Phoney,Falso,Unecht,تلفنی,مزيف
Phonic,Phonic,Fónico,Phonisch,آوایی,صوتي
Phonics,Phonics,Fónica,Phonetik,آواشناسی,"علم الأصوات"
Phonographist,Phonographist,Fonógrafo,Grammophonist,"نوازنده ی واج","عازف الفونوغراف"
Phonography,Phonography,Fonografía,Phonographie,فونوگرافی,الفونوغرافيا
Phonologist,Phonologist,Fonólogo,Phonologe,"واج شناس","عالم الأصوات"
Phonology,Phonology,Fonología,Phonologie,"واج شناسی","علم الأصوات"
Phonometer,Phonometer,Fonómetro,Phonometer,آواسنج,"مقياس الصوت"
Phony,Phony,Falso,Falsch,ساختگی,مزيف
Phosphate,Phosphate,Fosfato,Phosphat,فسفات,فوسفات
Phosphor,Phosphor,Fósforo,Phosphor,فسفر,الفوسفور
Phosphorescence,Phosphorescence,Fosforescencia,Phosphoreszenz,فسفرسانس,"التفسفر الوميض الفوسفوري"
Phosphorescent,Phosphorescent,Fosforescente,Phosphoreszierend,فسفرسانس,فسفوري
Phosphoreted,Phosphoreted,Fosforetado,Phosphorisiert,فسفردار,مُفسفور
Phosphoric,Phosphoric,Fosfórico,Phosphorsäure,فسفریک,الفوسفوري
Phosphorism,Phosphorism,Fosforismo,Phosphorismus,فسفریسم,الفسفورية
Phosphorous,Phosphorous,Fosforoso,Phosphor,فسفر,الفوسفور
Phosphorus,Phosphorus,Fósforo,Phosphor,فسفر,الفوسفور
Photobiotic,Photobiotic,Fotobiótico,Photobiotisch,فتوبیوتیک,"حيوية ضوئية"
Photocell,Photocell,"Célula Fotoeléctrica",Fotozelle,فتوسل,"خلية ضوئية"
Photochemistry,Photochemistry,Fotoquímica,Photochemie,فتوشیمی,"الكيمياء الضوئية"
Photoconductivity,Photoconductivity,Fotoconductividad,Photoleitfähigkeit,"رسانایی نوری","الموصلية الضوئية"
Photocopy,Photocopy,Fotocopia,Fotokopie,فتوکپی,"نسخة مصورة"
Photodynamical,Photodynamical,Fotodinámico,Photodynamische,فتودینامیک,"الضوئية الديناميكية"
Photodynamics,Photodynamics,Fotodinámica,Photodynamik,فتودینامیک,"الديناميكا الضوئية"
Photoelectric,Photoelectric,Fotoeléctrico,Fotoelektrisch,فوتوالکتریک,كهروضوئية
Photoelectricity,Photoelectricity,Fotoelectricidad,Photoelektrizität,فوتوالکتریک,الكهروضوئية
Photoelectron,Photoelectron,Fotoelectrón,Photoelektronen,فوتوالکترون,فوتوإلكترون
Photograph,Photograph,Fotografía,Foto,عکس,تصوير
Photographer,Photographer,Fotógrafo,Fotograf,عکاس,مصور
Photographic,Photographic,Fotográfico,Fotografisch,عکاسی,"التصوير الفوتوغرافي"
"Photographic Proof","Photographic Proof","Prueba Fotográfica","Fotografischer Beweis","اثبات عکاسی","دليل فوتوغرافي"
Photography,Photography,Fotografía,Fotografie,عکاسی,"التصوير الفوتوغرافي"
Photokinesis,Photokinesis,Fotocinesis,Photokinese,فوتوکینزی,"التحريك الضوئي"
Photometer,Photometer,Fotómetro,Photometer,فوتومتر,مضواء
Photometry,Photometry,Fotometría,Photometrie,نورسنجی,"قياس الضوء"
Photonegative,Photonegative,Fotonegativo,Fotonegativ,فوتونگاتیو,"سلبي ضوئي"
Photophily,Photophily,Fotofilia,Fotophilie,فتوفیلی,"محبة للضوء"
Photophobe,Photophobe,Fotófobo,Lichtscheu,فتوفوبیا,"رهاب الضوء"
Photophobia,Photophobia,Fotofobia,Photophobie,فتوفوبیا,"رهاب الضوء"
Photophobic,Photophobic,Fotofóbico,Lichtscheu,"فتوفوبیک (نورگریز)","كاره للضوء"
Photosphere,Photosphere,Fotosfera,Photosphäre,فوتوسفر,"الغلاف الضوئي"
Photostatic,Photostatic,Fotostático,Photostatisch,فوتواستاتیک,ضوئية
Photosynthesis,Photosynthesis,Fotosíntesis,Photosynthese,فتوسنتز,"البناء الضوئي"
Phototaxis,Phototaxis,Fototaxis,Fototaxis,فتوتاکسی,"التاكسي الضوئي"
Phrasal,Phrasal,Frasal,Phrasen,عبارتی,عبارة
Phrase,Phrase,Frase,Phrase,عبارت,عبارة
Phraseologist,Phraseologist,Fraseólogo,Phraseologismus,"عبارت شناس",عبارات
Phraseology,Phraseology,Fraseología,Phraseologie,"عبارت شناسی",العبارات
Phrasing,Phrasing,Fraseo,Formulierung,"جمله بندی",صياغة
Phrenic,Phrenic,Frénico,Zwerchfell,فرنیک,"الحجاب الحاجز"
Phrenologist,Phrenologist,Frenólogo,Phrenologe,"متخصص جمجمه شناسی","العالم بفراسة الدماغ"
Phrenology,Phrenology,Frenología,Phrenologie,"جمجمه شناسی","علم فراسة الدماغ"
Phylloid,Phylloid,Filoide,Phylloid,فیلوئید,فيلويد
Physic,Physic,Medicamento,Physik,فیزیک,فيزيائي
Physical,Physical,Físico,Physisch,فیزیکی,بدني
Physically,Physically,Físicamente,Physisch,"از نظر فیزیکی",جسديا
Physician,Physician,Médico,Arzt,پزشک,طبيب
"Physician In Attendance","Physician In Attendance","Médico De Guardia","Behandelnder Arzt","پزشک حاضر","الطبيب المعالج"
Physicians,Physicians,Médicos,Ärzte,پزشکان,الأطباء
Physicist,Physicist,Físico,Physiker,فیزیکدان,فيزيائي
Physics,Physics,Física,Physik,فیزیک,الفيزياء
Physiognomic,Physiognomic,Fisonómico,Physiognomisch,"قیافه شناسی",فسيولوجيًا
Physiognomy,Physiognomy,Fisonomía,Physiognomie,"قیافه شناسی","علم الفراسة"
Physiological,Physiological,Fisiológico,Physiologische,فیزیولوژیکی,فسيولوجي
Physiologist,Physiologist,Fisiólogo,Physiologe,فیزیولوژیست,"عالم وظائف الأعضاء"
Physiology,Physiology,Fisiología,Physiologie,فیزیولوژی,"علم وظائف الأعضاء"
Physiotherapy,Physiotherapy,Fisioterapia,Physiotherapie,فیزیوتراپی,"العلاج الطبيعي"
Physique,Physique,Físico,Körperbau,هیکل,"بنية الجسم"
Phytogenic,Phytogenic,Fitogénico,Phytogen,"گیاه زا",نباتي
Phytology,Phytology,Fitología,Phytologie,"گیاه شناسی","علم النبات"
Pi,Pi,Pi,Pi,پی,باي
Piano,Piano,Piano,Klavier,پیانو,بيانو
Pica,Pica,Pica,Pica,پیکا,بيكا
Piceous,Piceous,Piceo,Wundervoll,پیسی,رقاقي
Pick,Pick,Elegir,Wählen,انتخاب,يختار
"Pick Up","Pick Up",Levantar,Abholen,"برداشت کردن",يلتقط
Pickaback,Pickaback,"Paseo A Cuestas",Huckepack,"برداشت مجدد","على الظهر و الكتفين"
Pickax,Pickax,Piqueta,Hacke,کلنگ,معول
Pickaxe,Pickaxe,Piqueta,Spitzhacke,کلنگ,معول
Picked,Picked,Escogido,Gepflückt,برگزیده,مختار
Picking,Picking,Cosecha,Kommissionierung,چیدن,اختيار
"Picking Flowers","Picking Flowers","Recogiendo Flores","Blumen Pflücken","چیدن گل","قطف الزهور"
Pickle,Pickle,"Conservar En Vinagre",Beizen,ترشی,مخلل
Picklock,Picklock,Ganzúa,Dietrich,"قفل ترشی","قفل المعول"
Pickup,Pickup,Levantar,Abholen,وانت,يلتقط
Picky,Picky,Quisquilloso,Wählerisch,"گزیده کار","من الصعب إرضاءه"
Picnic,Picnic,Picnic,Picknick,"پیک نیک",نزهه
Pictograph,Pictograph,Pictografía,Piktogramm,تصویرنگار,"صورة صخرية"
Pictorial,Pictorial,Pictórico,Bildlich,تصویری,مصورة
Picture,Picture,Imagen,Bild,تصویر,صورة
"Picture Gallery","Picture Gallery","Galería De Imágenes",Bildergalerie,"گالری تصاویر","معرض الصور"
Pictured,Pictured,"En La Foto",Abgebildet,"تصویر شده","في الصورة"
Pictures,Pictures,Fotos,Bilder,تصاویر,صور
Picturesque,Picturesque,Pintoresco,Malerisch,"زیبا و خوش منظره",خلابة
Pie,Pie,Pastel,Torte,پای,فطيرة
Piebald,Piebald,"Caballo Pío",Gescheckt,پیبالد,أبقع
Piece,Piece,Pedazo,Stück,قطعه,قطعة
"Piece De Resistance","Piece De Resistance","Plato Principal",Glanzstück,"قطعه مقاومت","قطعة مقاومة"
"Pieces Of Advice","Pieces Of Advice",Consejos,Ratschläge,"نصیحت های پندآموز",نصائح
"Pieces Of Good News","Pieces Of Good News","Piezas De Buenas Noticias","Gute Nachrichten","خبرهای خوب","قطع من الأخبار الجيدة"
Piecewise,Piecewise,"Por Partes",Stückweise,"تکه تکه",قطعيًا
Piecework,Piecework,"Trabajo A Destajo",Akkordarbeit,"کار پاره وقت","عمل بالقطعة"
Piedmont,Piedmont,Piamonte,Piemont,پیمونت,بيدمونت
Pier,Pier,Muelle,Pier,اسکله,رصيف
Pierce,Pierce,Atravesar,Durchbohren,"سوراخ کردن",اخترق
Pierced,Pierced,Perforado,Durchbohrt,"سوراخ شده",مثقوب
Piety,Piety,Piedad,Frömmigkeit,تقوا,التقوى
Piezometer,Piezometer,Piezómetro,Piezometer,پیزومتر,"مقياس الضغط"
Pig,Pig,Cerdo,Schwein,خوک,خنزير
"Pig Iron","Pig Iron",Arrabio,Roheisen,"آهن خام","حديد خام"
Pigenhole,Pigenhole,Casillero,Taubenschlag,"لانه کبوتری","حفرة الحمام"
Pigeon,Pigeon,Paloma,Taube,کبوتر,حمامة
Piggery,Piggery,Pocilga,Schweinezucht,خوکداری,"حظيرة الخنازير"
Piggish,Piggish,Glotón,Schweinisch,"خوک مانند",شره
"Piggy Bank","Piggy Bank",Hucha,Sparschwein,قلک,"حصالة نقود"
Piggyback,Piggyback,"A Cuestas",Huckepack,"کول بک","على الظهر"
Pigheaded,Pigheaded,Cabezón,Stur,"خوک سرکش",عنيد
Piglet,Piglet,Cerdito,Ferkel,"بچه خوک","خنزير صغير"
Pigment,Pigment,Pigmento,Pigment,رنگدانه,صبغة
Pigpen,Pigpen,Pocilga,Schweinestall,خوکدانی,"حظيرة الخنازير"
Pigsty,Pigsty,Pocilga,Schweinestall,خوکدانی,"حظيرة الخنازير"
Pigtail,Pigtail,Coleta,Zopf,"دم خوکی",جديلة
Pike,Pike,Lucio,Pike,پایک,رمح
Pile,Pile,Montón,Stapel,شمع,كومة
"Pile Arms","Pile Arms","Brazos De Pila",Pfahlarme,"بازوهای شمعی","أذرع الكومات"
"Pile Driver","Pile Driver",Martinete,Ramme,"شمع کوب","سائق الركائز"
"Pile Of Straw","Pile Of Straw","Montón De Paja",Strohhaufen,"توده ای از کاه","كومة من القش"
"Pile Up","Pile Up",Acumular,Aufstapeln,"انباشته کردن",تراكم
Pileate,Pileate,Pileate,Pilate,پیلات,ريشة
"Piled Up","Piled Up",Amontonado,Aufgestapelt,"انباشته شده",مكدسة
Piles,Piles,Hemorroides,Stapel,"شمع ها",أكوام
Pilfer,Pilfer,"Robar A",Stehlen,"دله دزدی",سارق
Pilferer,Pilferer,Ladrones,Diebe,دزدان,سارقو
Pilfering,Pilfering,Ratería,Diebstahl,دزدی,سرقة
Pilgrim,Pilgrim,Peregrino,Pilger,زائر,حاج
Pilgrimage,Pilgrimage,Peregrinaje,Wallfahrt,زیارت,الحج
Pilgrims,Pilgrims,Peregrinos,Pilger,زائران,الحجاج
Piling,Piling,Pilotaje,Stapeln,"ستون بندی",التكديس
Pill,Pill,Píldora,Pille,قرص,حبة
Pillage,Pillage,Pillaje,Plündern,غارت,نهب
Pillager,Pillager,Saqueador,Plünderer,غارتگر,ناهب
Pillaging,Pillaging,Expoliación,Plünderungen,غارت,نهب
Pillar,Pillar,Pilar,Säule,ستون,عمود
Pillar-Like,Pillar-Like,"Como Un Pilar",Säulenartig,"ستون مانند","يشبه العمود"
Pillar-Shaped,Pillar-Shaped,"En Forma De Pilar",Säulenförmig,"ستونی شکل","على شكل عمود"
Pillars,Pillars,Pilares,Säulen,"ستون ها",أعمدة
Pillbox,Pillbox,Fortín,Bunker,"جعبه قرص","قبعة صغيرة مستديرة"
Pillion,Pillion,Grupera,Sozius,ترکیون,"راكب خلفي"
Pillory,Pillory,Picota,Pranger,ستون,عار
Pillow,Pillow,Almohada,Kissen,بالش,وسادة
"Pillow Slip","Pillow Slip","Funda De Almohada",Kissenbezug,"لغزش بالش","ورقة وسادة"
Pillowcase,Pillowcase,"Funda De Almohada",Kissenbezug,روبالشی,"غطاء وسادة"
Pilot,Pilot,Piloto,Pilot,خلبان,طيار
Pilotage,Pilotage,Pilotaje,Lotsendienste,خلبانی,الإرشاد
Piloted,Piloted,Pilotado,Pilotiert,"خلبانی شده","تم تجريبه"
Piloting,Piloting,Pilotaje,Pilotierung,خلبانی,قيادة
Pimp,Pimp,Chulo,Zuhälter,"دلال محبت",القواد
Pimple,Pimple,Espinilla,Pickel,جوش,بثرة
Pimply,Pimply,"Con Granos",Pickelig,"جوش دار","مليء بالحبوب"
Pin,Pin,Alfiler,Stift,پین,دبوس
"Pin Money","Pin Money","Dinero De Alfiler",Stecknadelgeld,"پول پین","دبوس المال"
"Pince Nez","Pince Nez",Quevedos,Zwicker,"پنس نیس","نظارة أنفية"
Pincer,Pincer,Tenazas,Zange,انبرها,كماشة
Pinch,Pinch,Pellizco,Prise,"خرج کردن",قرصة
Pincher,Pincher,Pincher,Kneifer,پینچر,كماشة
Pinching,Pinching,Ratería,Kneifen,"نیشگون گرفتن",معسر
Pincushion,Pincushion,Acerico,Nadelkissen,جاسوزنی,"وسادة الدبابيس"
Pindaric,Pindaric,Pindárico,Pindarisch,پینداریک,"بنداري متعلق بالشاعر بندار"
Pine,Pine,Pino,Kiefer,کاج,الصنوبر
"Pine Cone","Pine Cone",Piña,Tannenzapfen,"مخروط کاج","مخروط الصنوبر"
"Pine Needle","Pine Needle","Aguja De Pino",Kiefernnadeln,"سوزن کاج","إبرة الصنوبر"
Pineal,Pineal,Pineal,Zirbeldrüse,صنوبری,"الغدة الصنوبرية"
Pineapple,Pineapple,Piña,Ananas,آناناس,أناناس
Ping,Ping,Silbido,Klingeln,پینگ,بينغ
Pinhead,Pinhead,"Cabeza De Alfiler",Stecknadelkopf,"سر سوزن","رأس الدبوس"
Pinion,Pinion,Piñón,Ritzel,پینیون,"جناح الطائر"
Pink,Pink,Rosa,Rosa,صورتی,"لون القرنفل"
Pinkie,Pinkie,"Dedo Meñique","Kleiner Finger",صورتی,الخنصر
Pinnacle,Pinnacle,Pináculo,Höhepunkt,اوج,قمة
Pinner,Pinner,Palos,Stöcke,"چوب ها",العصي
Pinnulate,Pinnulate,Pinnulada,Gefiedert,"پینه مانند",ريشي
Pinnulated,Pinnulated,Pinulado,Gefiedert,"پین دار",مسنن
Pinwheel,Pinwheel,Molinillo,Windrad,"چرخ دنده","طاحونة هوائية"
Pioneer,Pioneer,Pionero,Pionier,پیشگام,رائد
"Pionted Out","Pionted Out",Destacado,Hervorgehoben,"بیرون زده","موجهة للخارج"
Pious,Pious,Piadoso,Fromm,پرهیزگار,تقي
"Pious Act","Pious Act","Acto Piadoso","Fromme Tat","عمل خداپسندانه","عمل صالح"
"Pious Person","Pious Person","Persona Piadosa","Frommer Mensch","شخص پرهیزگار","شخص متدين"
Pip,Pip,Pepita,Pip,پیپ,نقطة
Pipe,Pipe,Tubo,Rohr,لوله,ماسورة
"Pipe Dream","Pipe Dream","Castillos En El Aire",Wunschtraum,"رویای لوله ای","حلم بعيد المنال"
Pipelayer,Pipelayer,Tiendetubos,Rohrleger,"لوله کش","عامل مد الأنابيب"
Pipelike,Pipelike,"En Forma De Tubería",Röhrenförmig,"لوله مانند","يشبه الأنبوب"
Pipeline,Pipeline,Tubería,Pipeline,"خط لوله","خط الأنابيب"
Piper,Piper,Bip,Piepton,بوق,زمارة
Pipestem,Pipestem,"Vástago De La Pipa",Rohrschaft,"ساقه لوله","ساق الأنبوب"
Pipin,Pipin,Pipin,Pipin,پیپین,بيبين
Piping,Piping,Tubería,Rohrleitungen,"لوله کشی",الأنابيب
"Piping Hot","Piping Hot","Muy Caliente","Kochend Heiß","داغ داغ","ساخن جدًا"
Pipkin,Pipkin,"Puchero De Barro",Pipkin,پیپکین,"موقد فخار"
Piquancy,Piquancy,Picante,Pikanterie,"تندی و تیزی","نكهة حادة"
Piquant,Piquant,Picante,Pikant,"تند و تیز",لاذع
Pique,Pique,Piqué,Piqué,پیکه,استياء
Piracy,Piracy,Piratería,Piraterie,"دزدی دریایی",القرصنة
Pirate,Pirate,Pirata,Pirat,"دزد دریایی",قرصان
"Piroot Ebrahim","Piroot Ebrahim","Piroot Ebrahim","Piroot Ebrahim","پیروت ابراهیم","بيروت إبراهيم"
Piruz,Piruz,Piruz,Piruz,پیروز,بيروز
Piscary,Piscary,Piscaría,Piscary,پیسکاری,"سمكة القرش"
Piscatologist,Piscatologist,Piscatólogo,Fischkundler,پیسکاتولوژیست,"عالم الأسماك"
Piscatology,Piscatology,Piscatología,Fischkunde,پیسکاتولوژی,"علم الأسماك"
Pisciculture,Pisciculture,Piscicultura,Fischzucht,"پرورش ماهی","تربية الأسماك"
Pisciculturist,Pisciculturist,Piscicultor,Fischzüchter,"ماهی شناس","مربي الأسماك"
Pisciform,Pisciform,Pisciforme,Fischförmig,"ماهی شکل","سمكي الشكل"
Piscina,Piscina,Piscina,Schwimmbad,پیسینا,"حمام سباحة"
Piss,Piss,Mear,Piss,ادرار,شخ
Pissoir,Pissoir,Pissoir,Pissoir,پیسور,المرحاض
Pistachio,Pistachio,Pistacho,Pistazie,پسته,فستق
Pistol,Pistol,Pistola,Pistole,تپانچه,مسدس
Piston,Piston,Pistón,Kolben,پیستون,مكبس
Pit,Pit,Fosa,Grube,گودال,حفرة
"Pit A Pat","Pit A Pat","Darle Una Palmadita","Einen Klaps Geben","پت پت کردن","حفرة التربيت"
Pitch,Pitch,Paso,Tonhöhe,زمین,يقذف
"Pitch A Tent","Pitch A Tent","Armar Una Tienda De Campaña","Ein Zelt Aufschlagen","چادر زدن","نصب خيمة"
"Pitch Tent","Pitch Tent","Tienda De Campaña","Zelt Aufstellen","چادر زمینی","خيمة الملعب"
Pitcher,Pitcher,Lanzador,Krug,پارچ,جرة
Pitchfork,Pitchfork,Horca,Heugabel,چنگال,مذراة
Piteous,Piteous,Lastimoso,Erbärmlich,"رقت انگیز",بائس
Pitfall,Pitfall,Trampa,Falle,گودال,شرك
Pith,Pith,Médula,Mark,پیت,اللب
Pithy,Pithy,Sustancial,Kernig,پیت,موجز
Pitiable,Pitiable,Lamentable,Bemitleidenswert,"قابل ترحم","مثير للشفقة"
Pitiful,Pitiful,Lamentable,Erbärmlich,"رقت انگیز","مثير للشفقة"
Pitiless,Pitiless,Despiadado,Erbarmungslos,"بی رحم","بلا رحمة"
Pitted,Pitted,Deshuesado,Entkernt,"سوراخ سوراخ شده",محفور
Pitting,Pitting,Picaduras,Lochfraß,گودبرداری,الحفر
Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh,پیتسبورگ,بيتسبرغ
"Pittsburgh University","Pittsburgh University","Universidad De Pittsburgh","Pittsburgh Universität","دانشگاه پیتسبورگ","جامعة بيتسبرغ"
Pity,Pity,Lástima,Mitleid,ترحم,شفقة
Pizza,Pizza,Pizza,Pizza,پیتزا,بيتزا
Placard,Placard,Cartel,Plakat,پلاکارد,لافتة
Place,Place,Lugar,Ort,مکان,مكان
"Place For Public Prayer","Place For Public Prayer","Lugar De Oración Pública","Ort Für Öffentliches Gebet","مکانی برای نماز جماعت","مكان للصلاة العامة"
"Place For Recreation","Place For Recreation","Lugar Para La Recreación","Ort Zur Erholung","مکانی برای تفریح","مكان للترفيه"
"Place Of Ambush","Place Of Ambush","Lugar De Emboscada","Ort Des Hinterhalts","محل کمین","مكان الكمين"
"Place Of Exhibition","Place Of Exhibition","Lugar De Exposición",Ausstellungsort,"محل برگزاری نمایشگاه","مكان المعرض"
"Place Of Martyrdom","Place Of Martyrdom","Lugar Del Martirio","Ort Des Martyriums","محل شهادت","مكان الاستشهاد"
"Place Of Worship","Place Of Worship","Lugar De Culto",Kultstätte,عبادتگاه,"مكان العبادة"
"Place To Escape To","Place To Escape To","Lugar Para Escapar","Ort, An Den Man Fliehen Kann","جایی برای فرار به","مكان للهروب إليه"
"Place Under Surveilance","Place Under Surveilance","Lugar Bajo Vigilancia","Ort Unter Überwachung","مکان تحت نظر","مكان تحت المراقبة"
"Place Well","Place Well","Lugar Bien","Platz Gut","خوب جا بده","مكان جيد"
Placed,Placed,Metido,Platziert,"قرار داده شده",وضعت
Placeless,Placeless,"Sin Lugar",Ortlos,"بی مکان","بلا مكان"
Placement,Placement,Colocación,Platzierung,"قرار دادن",التنسيب
Places,Places,Lugares,Orte,"مکان ها",الأماكن
Placket,Placket,Placa,Plakette,پلاک,لوحة
Plagiarism,Plagiarism,Plagio,Plagiat,"سرقت ادبی","سرقة علمية"
Plagiarist,Plagiarist,Plagiario,Plagiator,"دزد ادبی","سارق أدبي"
Plagiarize,Plagiarize,Plagiar,Plagiieren,"سرقت ادبی کردن",انتحل
Plagiary,Plagiary,Plagio,Plagiat,"سرقت ادبی",انتحال
Plague,Plague,Plaga,Pest,طاعون,وباء
